chr	start	end	score
3	48564073	48595329	30
3	52401004	52410030	3
3	58008422	58172251	0
3	59747277	61251452	0
3	69739464	69968332	3
3	70954708	71583983	3
3	75373756	75595473	40
3	75518194	75532541	40
3	75718848	75746849	40
3	78597239	79767998	0
3	81489703	81761645	30
3	97762581	97812585	30
3	98159451	98204582	40
3	98168648	98200490	40
3	108907644	108955195	40
3	119294289	119420714	0
3	122183668	122291629	0
3	123610049	123884332	1
3	128479422	128493201	3
3	130345516	130484846	40
3	136684193	148623326	3
3	138944224	138947137	3
3	142449235	142578793	1
3	146069437	146161184	30
3	147386046	147407476	0
3	147409365	147416719	0
3	149129624	149173732	30
3	149162410	149222008	30
3	150926163	150972999	30
3	155760377	155780857	40
3	158644527	158695581	30
3	164978898	165078496	30
3	165772904	165837423	30
3	173395929	174294372	0
3	174438534	175810548	0
3	177019344	177197482	3
3	179148114	179240093	0
3	180614008	180679489	30
3	181711925	181714436	3
3	183015218	183099587	30
3	189596746	189897276	1
3	192139390	192727541	0
3	195649717	195766662	0
3	195653407	195742693	40
3	196029183	197617791	3
3	196234368	196287726	30
3	196468783	196503768	30
3	196739857	196832647	1
4	337779	2009235	3
4	337814	384868	30
4	986997	1004564	30
4	1009930	1026898	0
4	1341998	1388049	30
4	1793293	1808872	0
4	1811479	1856156	0
4	1982717	2041914	0
4	2059327	2069089	30
4	3463306	3501482	30
4	3503612	3532497	30
4	4859665	4863936	3
4	5562408	5709548	30
4	6260368	6303265	0
4	9416271	9455642	0
4	9485260	9514441	40
4	9781634	9784009	0
4	10486395	10734853	0
4	13367724	13484340	30
4	13540830	13544508	30
4	15468660	15601557	30
4	17486395	17512090	30
4	25120014	25160546	30
4	25655851	25678748	30
4	42892713	43030658	30
4	49175172	49247858	40
4	49487225	49522795	0
4	68310387	68350093	1
4	69257932	69366619	40
4	69258281	69305582	40
4	69260763	69369641	40
4	69269114	69404673	40
4	69272345	69381447	40
4	69286321	69395616	40
4	70028459	70036538	40
4	74416911	74457464	40
4	74448523	74457524	40
4	74450282	74457283	40
4	76158737	76213824	0
4	79901146	80073472	30
4	83263824	83285134	30
4	83459517	83485137	0
4	87303794	87322882	40
4	87608529	87616873	0
4	87650280	87664357	30
4	88007635	88077779	3
4	99546711	99564039	30
4	99564130	99623997	30
4	106315544	106349456	30
4	110617423	110642123	3
4	112705622	113383736	3
4	121824329	121870487	30
4	122700437	122744943	30
4	127917732	127965988	30
4	139301499	139391384	3
4	145619385	145660033	30
4	148078764	148444698	3
4	150264435	151015727	30
4	153152163	153339317	30
4	154740838	154753120	30
4	157076146	157172090	30
4	158672296	158709623	30
4	169392809	169612629	30
4	174490175	174522893	30
4	177430774	177442469	30
4	186191567	186213463	30
5	37695	11347150	3
5	814331	825252	0
5	1225381	1246189	40
5	1253167	1295068	1
5	1392794	1445440	30
5	1801407	1816048	30
5	7851186	7901124	30
5	10249921	10266412	30
5	10971836	11904446	1
5	13690328	14011829	30
5	14143342	14510204	3
5	14704800	14871778	0
5	16473038	16617096	30
5	34929540	34958964	1
5	36876769	37066413	3
5	37063928	37249499	30
5	41730065	41870535	30
5	44300247	44389706	3
5	53095679	53109757	30
5	53560610	53683338	30
5	56815543	56896152	0
5	58969038	60524329	0
5	60866454	60945070	30
5	60945205	61153026	30
5	69415116	69444330	30
5	69492547	69558104	30
5	70009572	70073273	0
5	70020257	70047833	0
5	71017172	71069273	40
5	71028672	71108173	0
5	71031172	71039873	40
5	74640023	74721288	30
5	75368486	75511981	0
5	80654652	80876815	30
5	87267845	87391916	3
5	88717117	88904105	3
5	90558796	91164437	30
5	93583222	93594613	3
5	95463894	95554980	30
5	111570233	111575342	40
5	112707498	112846239	3
5	119452497	119542332	30
5	123089148	123194266	0
5	126776623	126837020	0
5	131170944	131205428	30
5	138753425	138935034	3
5	138946724	139198368	30
5	140114109	140125619	3
5	140717182	140724468	40
5	140842551	140859346	40
5	141392633	141512975	40
5	147824582	147839196	3
5	148063980	148137382	30
5	148982150	149063062	30
5	149993118	150000654	40
5	150219491	150290130	1
5	150357697	150400306	3
5	157180840	157255185	30
5	161847191	161899971	1
5	162067465	162155539	1
5	171309248	171312139	0
5	171861549	172006638	0
5	173232109	173235321	3
5	176301976	177620792	3
5	177131835	177300213	3
5	177384434	177412021	30
5	177511577	177516961	3
5	177600102	177610330	30
5	177992235	177996242	30
5	178149463	178153885	30
5	178921351	178926193	40
5	178978327	178995320	30
5	179110853	179345461	30
5	180948131	181003626	40
5	181164001	181169624	40
5	181360998	181429999	40
6	83824	202184	40
6	259528	339802	40
6	1609915	1613897	3
6	2948159	2971793	30
6	3118376	3153599	40
6	5261007	5771583	30
6	6144084	6320662	30
6	7541671	7586714	3
6	11183298	11382348	1
6	15245975	15522042	0
6	24494969	24537207	30
6	26087347	26098343	30
6	26156329	26157115	0
6	29869423	29881496	40
6	29924783	29938057	40
6	31137534	31139066	40
6	32038415	32041644	30
6	32508079	32546462	40
6	32549059	32573916	40
6	32659773	32680646	40
6	33420065	33453689	3
6	35452338	35467106	30
6	42984570	43012342	1
6	43576147	43620523	30
6	43770209	43786487	1
6	44297850	44313358	30
6	49430360	49463298	30
6	50817692	50847619	3
6	63635802	63726011	1
6	63719980	65707226	30
6	70215061	70303084	0
6	71886703	72403145	1
6	73362658	73364171	30
6	73461737	73509236	30
6	73593379	73653992	30
6	73998109	74008782	0
6	73999168	74007298	0
6	78934419	79078294	3
6	79484991	79537430	30
6	80106610	80469088	30
6	83150728	83193900	30
6	87513938	87589996	30
6	100385009	100464929	1
6	101393708	102070083	30
6	107152557	107459681	30
6	107490104	107661306	30
6	108041409	108074741	30
6	109462594	109483219	30
6	112052813	112069686	30
6	116254171	116444861	30
6	116598184	116633051	30
6	116877218	116932163	30
6	117675469	117710727	3
6	121435646	121449727	0
6	123216339	123636950	30
6	128883138	129516566	30
6	131573226	131584329	30
6	131808020	131895155	30
6	133240340	133532128	3
6	135283532	135497771	30
6	136256627	136289846	1
6	136821683	136913934	30
6	139371807	139374648	2
6	142751469	142945756	3
6	143450805	143490616	30
6	143922155	144095424	1
6	143940300	144064599	0
6	144004916	144008730	0
6	144140044	144191939	30
6	145382540	145736023	30
6	146027634	146437601	30
6	149217926	149411611	1
6	150368854	150405969	30
6	151404548	151452169	30
6	156776026	157210779	3
6	158109515	158168270	30
6	158168316	158199344	30
6	159969082	160111504	0
6	161347417	162727802	30
6	167269032	167316014	40
6	168441153	168667992	30
6	169751622	169781600	1
6	170282200	170291078	3
7	192571	260772	30
7	2512529	2529177	30
7	2537810	2555753	30
7	5497217	5760091	3
7	5527148	5530601	0
7	5901368	5913369	40
7	5937368	5942369	40
7	5970925	6009106	3
7	6779368	6787569	40
7	6861142	6883612	40
7	16087525	16421538	30
7	19113047	19117636	3
7	21543039	21901839	30
7	30010587	30026702	30
7	33904915	34156427	30
7	35199936	35254100	1
7	38346962	38358142	40
7	39949664	40099580	2
7	40126027	40134622	30
7	41960949	42237209	3
7	44217154	44326167	1
7	50590068	50793453	0
7	55019017	55211628	0
7	56010487	56051604	30
7	56995057	57020978	40
7	63226937	63263270	40
7	63502788	63519014	40
7	65646085	65679086	40
7	65960684	65982230	30
7	66075819	66093576	30
7	66628881	66643229	30
7	69598475	70793506	3
7	73330452	74728172	3
7	74027772	74069907	3
7	74083804	74122525	0
7	74453906	74603070	0
7	74657718	74760692	0
7	74773962	74789376	30
7	74796144	74851576	0
7	74809162	74815663	40
7	74963584	75065983	40
7	75006833	75013834	40
7	75038895	75045096	40
7	75054892	75062193	40
7	75528718	76433859	2
7	75915155	75986855	30
7	80602207	80679277	30
7	81699006	81770438	30
7	83955777	84515189	1
7	92447448	92494631	30
7	92487023	92528520	30
7	92604921	92836573	30
7	93099518	93117979	30
7	94394895	94431227	0
7	94584980	94656205	3
7	94656325	94669695	0
7	94907202	95296415	0
7	96120220	96322127	30
7	96481626	96709846	0
7	97005553	97011040	0
7	97020396	97024831	0
7	98617285	98629869	0
7	98878532	99013241	1
7	99827626	99867138	40
7	99863767	99865939	40
7	100620420	100641552	30
7	100643097	100656448	30
7	101127104	101139247	30
7	101205984	101217581	30
7	102328550	102381792	40
7	102660552	102690553	40
7	103471789	103989658	30
7	104940949	105115019	3
7	110662644	111562531	40
7	114086327	114693765	1
7	116672196	116798386	0
7	117480025	117668665	30
7	122073544	122144269	30
7	122318411	122886500	0
7	128830406	128859272	3
7	130293161	130324180	0
7	130486175	130506465	0
7	130730697	130734207	0
7	138706294	138799839	30
7	139228408	139329421	1
7	140713328	140924929	1
7	141551410	141662153	30
7	142055193	142081179	40
7	142065624	142094699	40
7	142740235	142753076	0
7	142752325	142774385	40
7	142753425	142767072	40
7	143711906	143720407	40
7	144183522	144378826	40
7	144187118	144233372	0
7	144451941	144836424	30
7	146116207	148420998	1
7	150589058	150610821	40
7	150944956	150978321	3
7	151556124	151877115	0
7	152134925	152436642	3
7	153748133	154894285	1
7	155458129	155464831	0
7	155799980	155812463	3
7	156640202	156678333	40
7	156669012	156893183	30
7	156791102	156791874	0
7	157004854	157010663	3
7	157337004	157417439	0
7	158839245	158958695	30
8	75899	83100	40
8	166099	179200	40
8	737628	1708476	0
8	1755778	1786570	30
8	2935353	4995035	1
8	6406615	6648508	30
8	6971214	7020634	0
8	7195664	8273167	40
8	7253423	7300285	0
8	7355060	7369899	0
8	7878977	7906978	40
8	7879477	7885578	0
8	7887477	7896578	40
8	7941477	7966578	40
8	7948727	7954578	40
8	8242542	11908820	3
8	8783354	8893630	0
8	11676931	11760002	3
8	11842524	11868087	0
8	12046490	12068491	40
8	12104490	12110491	40
8	12394290	12439891	0
8	12433690	12453541	40
8	15540087	15766649	30
8	17246903	17333455	30
8	18055992	18084961	30
8	18527303	19086909	0
8	23243637	23262000	0
8	24950955	24956612	0
8	25419258	25425040	30
8	27771949	27812430	30
8	31033749	31176138	30
8	38411143	38468635	3
8	38996767	39105261	30
8	41929479	42051988	3
8	43140449	43202855	30
8	52622458	52714466	1
8	56957931	56993874	30
8	60185412	60281400	30
8	60678740	60868028	3
8	61500556	61714609	30
8	67062417	67198003	30
8	67422038	67747114	0
8	71197433	71548104	3
8	81656914	81686325	0
8	89933331	89984698	3
8	93754844	93832653	30
8	93916923	93926068	30
8	95244913	95269201	30
8	99013274	99877580	30
8	104379429	104467074	30
8	105318438	105804539	1
8	109086585	109121565	30
8	115408496	115668975	3
8	116845934	116874776	3
8	117794490	118111826	3
8	118923557	118951885	30
8	119730773	119832858	30
8	132570416	132685039	30
8	133237175	133297252	30
8	139600838	139703135	0
8	139727725	140458579	30
8	142740949	142742406	30
8	143213218	143217170	30
8	144256043	144278794	40
8	144257946	144277497	40
9	111999	126000	0
9	211296	465260	30
9	470295	746104	0
9	841647	969090	2
9	1003237	1057554	0
9	2015347	2193624	0
9	2621786	2660056	30
9	2717510	2730037	30
9	3824127	4310694	30
9	6532467	6645729	30
9	12693375	12710285	30
9	13105296	13279692	30
9	14734666	14911653	0
9	21802636	21867081	1
9	21967752	21995324	3
9	23690099	23850601	1
9	33104077	33167336	30
9	34458805	34520984	30
9	34646675	34651035	30
9	35073839	35079942	30
9	35085496	35096591	30
9	35657751	35658018	30
9	35736862	35749228	30
9	36833269	37034268	1
9	37422435	37438952	30
9	37779714	37785092	30
9	39368304	39380305	40
9	40218981	40229782	40
9	41373825	41397601	0
9	41447948	41584416	0
9	41875633	41894584	40
9	41893458	41898459	40
9	41901558	41912138	40
9	42187993	42193994	40
9	42571218	42576319	40
9	42579118	42598119	40
9	42606667	43163949	0
9	42657618	42675119	40
9	42712222	42793523	40
9	60913727	60920728	40
9	61055297	61066848	40
9	61087440	61092841	40
9	61087440	61115941	40
9	61192272	61211173	40
9	61196784	61203785	40
9	61197782	61282783	40
9	61230528	61334753	40
9	64363081	64375807	40
9	64386331	64392782	40
9	64406506	64422682	40
9	66946498	67116738	40
9	67082041	67101042	40
9	67097078	67112079	40
9	67106870	67112071	40
9	67168889	67177290	40
9	67173745	67222796	40
9	67288703	67293954	40
9	67289628	67296529	40
9	67701487	67723488	40
9	67724915	67742791	40
9	67887053	67919054	40
9	69035752	69079076	30
9	69121006	69255208	30
9	77177353	77421537	30
9	78236075	78279690	30
9	78297125	78330093	30
9	83968083	83980630	3
9	91722598	91950228	0
9	92325457	92620529	0
9	93576584	93679587	1
9	94603133	94640263	30
9	95099054	95317730	30
9	95442980	95516971	3
9	95875632	96041092	30
9	96235306	96313987	30
9	97654398	97697403	30
9	97853226	97856717	30
9	98732009	98796555	30
9	98807670	98850081	1
9	99104038	99154192	2
9	99216425	99221942	30
9	104600434	104606341	40
9	106860154	107013634	3
9	107775253	107778314	40
9	113386312	113401301	30
9	114316520	114335867	0
9	114402078	114505500	30
9	116423112	117415057	1
9	116687305	116701299	30
9	120388875	120580167	30
9	124481236	124507399	3
9	126613928	126701032	3
9	127611912	127696029	3
9	127815012	127854773	3
9	132891349	132945269	3
9	133351758	133356487	30
9	133414337	133459403	30
9	133532164	133575519	30
9	133636363	133659329	30
9	134641789	134844843	3
9	136045003	136052654	40
9	136196250	136205128	30
9	136428619	136439861	30
9	136673143	136687457	30
9	137191619	137200741	30
9	137619001	137836127	3
10	130088	254637	3
10	6010689	6062367	30
10	8045420	8075198	3
10	11920022	12043170	0
10	13217247	13218742	40
10	13277799	13300064	30
10	14897359	14954432	30
10	16823966	17130492	30
10	17826000	17838001	40
10	17828846	17841147	40
10	17837946	17846047	40
10	17838000	17851801	40
10	20779973	21293050	0
10	25934229	26212536	30
10	26938195	27100498	0
10	27349327	27353251	40
10	28532772	28623112	3
10	43077069	43130351	3
10	45815201	45830352	40
10	45843151	45879552	40
10	46160527	46226532	0
10	46373069	46378170	40
10	46377639	46383340	40
10	46377769	46382770	40
10	46798971	46848972	40
10	46933236	46939112	40
10	47074765	47282602	40
10	47322454	47327588	0
10	47348363	47357881	30
10	47487361	47493362	40
10	47499361	47507162	40
10	47502722	47586882	40
10	48009306	48019507	40
10	48029382	48034483	40
10	48181660	49845537	1
10	49609095	49667942	30
10	50079939	50085340	40
10	50080601	50103402	40
10	50085939	50091040	40
10	50092089	50097640	40
10	50098539	50104840	40
10	50101946	50240976	40
10	50102239	50134890	40
10	50111946	50119097	40
10	50116898	50122299	40
10	50205831	50224757	40
10	50207439	50214640	40
10	50213439	50221540	40
10	53802771	55629182	30
10	62811996	62819167	0
10	65912523	67696217	0
10	68988803	69016982	30
10	69521059	69531547	40
10	69523150	69531336	40
10	70431936	70447951	1
10	71396920	71815947	30
10	73110455	73131827	40
10	73668724	73680225	40
10	74824927	75032624	3
10	78033863	78056806	3
10	79844743	79851044	40
10	79923087	86979631	3
10	81875190	82989979	0
10	84194537	84219621	30
10	85599552	86366795	0
10	86755786	86927969	3
10	87863625	87971930	3
10	88935074	88991397	1
10	88968429	89017059	1
10	89213571	89251926	30
10	89430299	89536029	1
10	92593130	92655395	3
10	93612537	93666010	30
10	96189171	96271569	30
10	98416193	98446963	30
10	98457077	99235875	30
10	99694293	99732131	30
10	100042193	100081869	30
10	100735396	100829944	3
10	101226976	101228960	0
10	101578882	101588319	0
10	101610664	101695295	0
10	102230189	102241512	0
10	110919370	111013665	0
10	112950247	113167678	1
10	117542746	117549546	1
10	119651380	119677819	3
10	123009006	123058290	30
10	124397303	124418923	30
10	125784980	125823280	30
11	532242	535576	0
11	1894015	1915772	40
11	1995176	2001466	0
11	2129112	2149603	0
11	2159779	2161209	0
11	2445008	2849110	3
11	2608328	2699998	1
11	2883218	2885775	3
11	2899691	2925246	0
11	2928273	2929420	0
11	3087107	3165310	0
11	3218081	3339758	0
11	4234219	4256896	40
11	4234735	4257233	0
11	4242862	4288500	40
11	4946516	4955428	40
11	4947458	4959002	40
11	5852754	5862269	40
11	5852758	5862263	40
11	6621330	6655809	1
11	7788205	7813338	40
11	7789628	7811831	40
11	9778667	10294207	30
11	15966449	16738477	0
11	17392498	17476849	30
11	17493895	17544416	30
11	18918658	18942110	0
11	18920312	18943051	40
11	22622533	22625823	30
11	28985603	28990540	0
11	30231014	30235194	30
11	31781961	32489442	3
11	31789026	31817961	3
11	32387775	32435539	3
11	33703010	33736479	30
11	34915829	34996128	30
11	36510353	36579762	30
11	36591943	36598236	30
11	43873250	46130899	3
11	44095659	44251962	3
11	44260440	44310139	3
11	45804072	45813016	30
11	45909663	45917877	30
11	45929319	46121454	2
11	47214969	47239218	30
11	47331406	47352702	3
11	55264126	55271064	40
11	55596799	55676539	40
11	55666777	55676508	40
11	55678233	55690300	40
11	61198674	61252927	0
11	61430124	61446733	3
11	64803514	64811294	3
11	66070272	66244744	0
11	66848420	66958418	30
11	67364168	67374177	30
11	67452403	67461774	30
11	67518912	67523446	30
11	67606936	67612554	30
11	67996175	71525885	2
11	68030681	68036644	30
11	68039000	68053846	30
11	68298866	68449275	2
11	68754620	68844410	30
11	68903855	68940601	30
11	69809968	69819416	30
11	70203296	70207390	30
11	70467854	71252724	3
11	71434411	71448393	30
11	72139602	72178286	40
11	72189709	72196323	30
11	83455009	85628535	1
11	86945679	86955395	3
11	87037934	87328824	0
11	89786909	89923863	0
11	90029831	90050232	40
11	95832880	95924110	30
11	102109957	102233424	1
11	102880376	102882132	40
11	103109426	103479863	30
11	108222484	108369102	3
11	108505431	108607514	30
11	110174922	110296614	30
11	112086873	112095794	3
11	112226428	112233973	30
11	117316346	117413266	30
11	117986394	118003037	30
11	118304730	118316173	30
11	118338954	118342705	30
11	118344344	118355161	30
11	118436492	118526832	3
11	118572396	118603033	3
11	119024112	119030906	30
11	119084864	119093549	3
11	119096505	119101884	30
11	119206339	119308149	0
11	119338942	119346705	30
11	121101243	121191490	30
11	123069872	123195248	30
11	124865432	124881471	30
11	125592847	125623091	30
11	125624910	125676256	0
11	125883614	125900646	30
11	126269043	126278132	30
11	128838020	128867296	30
11	130159782	130210362	30
11	134069072	134152001	30
11	134253538	134265858	30
12	1969552	2697950	1
12	6444867	6451718	30
12	6570082	6607379	1
12	8208853	8238300	0
12	8208926	8239193	0
12	8405494	8443619	0
12	8602170	8612970	30
12	8914509	8941467	30
12	10428652	10444444	40
12	10428945	10444404	40
12	10429000	10435076	40
12	11039082	11065026	40
12	11072385	11088297	40
12	11073400	11098001	40
12	11074482	11098540	40
12	11649601	11895386	3
12	12717368	12722369	3
12	13537337	13982012	3
12	14612632	14696625	0
12	14880864	14885854	30
12	15620134	15789388	30
12	21531527	21604858	30
12	23529499	24562701	3
12	25205246	25250929	0
12	27495007	27501798	40
12	27495208	27502230	40
12	27958084	27972864	3
12	32399523	32646050	30
12	34202958	34208608	40
12	40480964	40482622	40
12	40692429	41072415	30
12	43758909	43789543	30
12	45729706	45908037	3
12	47972967	48006212	3
12	49018975	49060884	3
12	49184795	49189080	0
12	50104008	50111313	30
12	50112236	50120453	30
12	51591233	51812864	1
12	51906913	51923361	3
12	56041918	56044697	3
12	57747727	57752310	0
12	64713449	64759406	30
12	65169583	65248355	3
12	65278593	65466907	30
12	65824460	65966291	1
12	66347431	67069338	30
12	70242993	70354993	1
12	80099537	80380880	30
12	80424261	80680273	30
12	88049013	88142216	30
12	91050491	91058024	30
12	93677342	93894840	30
12	100357074	100422055	1
12	102836889	102958441	30
12	104975237	104980402	40
12	109477410	109543628	30
12	109553715	109573580	30
12	110614068	110649430	30
